id,word,pos,part,section,japanese,sentence,sentence_ja
1,create,verb,1,1,を創り出す；を引き起こす,The company plans to create new job opportunities in the coming year.,その会社は来年、新たな雇用機会を創出する計画です。
2,increase,verb,1,1,増加する（⇔ decrease ⇒ 223）；を増やす,The company decided to increase its investment in renewable energy.,その会社は再生可能エネルギーへの投資を増やすことを決定した。
3,improve,verb,1,1,を向上させる；よくなる,"To improve one's academic performance, consistent effort and effective study habits are essential.",学業成績を向上させるためには、一貫した努力と効果的な学習習慣が不可欠です。
4,mean,verb,1,1,を意味する；（...する）つもりである（to do）,Success doesn't always mean happiness.,成功が必ずしも幸福を意味するわけではない。
5,own,verb,1,1,を所有している；（事実・罪など）を認める,He plans to own a small business after graduating from university.,彼は大学を卒業後、小さな会社を所有する計画だ。
6,include,verb,1,1,を含む（⇔ exclude ⇒ 1009）,Our tour package includes accommodation and breakfast.,私たちのツアーパッケージには宿泊と朝食が含まれています。
7,consider,verb,1,1,を見なす；について考える,We should consider all options before making a final decision.,最終決定をする前に、すべての選択肢を検討すべきだ。
8,allow,verb,1,1,を許す；を与える；（～を）考慮に入れる（for）,The new policy will allow more students to participate in extracurricular activities.,新しい方針により、より多くの学生が課外活動に参加できるようになります。
9,suggest,verb,1,1,を提案する；を暗示する,The professor suggested that students read the supplementary materials to deepen their understanding of the complex theory.,教授は、学生たちがその複雑な理論の理解を深めるために、補足資料を読むことを提案した。
10,produce,verb,1,1,を生産する；を取り出す,"Deforestation can reduce the ability of forests to produce oxygen, a vital component for life on Earth.",森林破壊は、地球上の生命にとって不可欠な要素である酸素を生産する森林の能力を低下させる可能性があります。
11,decide,verb,1,1,を決める；に決着をつける,"After much deliberation, the committee decided to approve the new proposal.",熟慮の結果、委員会は新しい提案を承認することを決定した。
12,offer,verb,1,1,を提供する，申し出る,The university decided to offer a new scholarship to encourage international students.,大学は、留学生を奨励するために、新しい奨学金を提供することにしました。
13,require,verb,1,1,を要求する；を必要とする,"To enter the advanced course, students are required to have a strong foundation in mathematics.",上級コースを受講するには、学生は数学のしっかりとした基礎を持っていることが求められます。
14,share,verb,1,1,を共有する；を分担する,Students are encouraged to share their ideas during group discussions.,学生たちはグループ討論中に自分の意見を共有するよう勧められています。
15,store,verb,1,1,を保存する；を蓄える,"This warehouse is designed to store perishable goods at low temperatures, ensuring their freshness over extended periods.",この倉庫は、生鮮品を低温で保存するように設計されており、長期間にわたってその鮮度を保ちます。
16,tend,verb,1,1,傾向がある；を世話する,Many people tend to choose convenience over quality in their daily lives.,多くの人々は日常生活において、品質よりも利便性を選ぶ傾向があります。
17,concern,verb,1,1,〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する,Many people are concerned about the impact of climate change on future generations.,多くの人々は、気候変動が将来の世代に与える影響について懸念している。
18,describe,verb,1,1,について述べる，を説明する,It is often difficult to accurately describe complex emotions in simple terms.,複雑な感情を簡単な言葉で正確に説明することは、しばしば困難です。
19,involve,verb,1,1,を関与させる；を伴う,Being a doctor involves a great deal of responsibility.,医者であることは、多大な責任を伴う。
20,reduce,verb,1,1,を減らす；を（～に）変える（to）,The government launched a new initiative to reduce the nation's reliance on fossil fuels over the next decade.,政府は今後10年間で、国の化石燃料への依存度を減らすための新たな取り組みを開始しました。
21,design,verb,1,1,を設計する；を計画する,It takes years of practice for an architect to design a building that is both functional and aesthetically pleasing.,建築家が機能的かつ見た目にも美しい建物を設計するには、長年の練習が必要です。
22,force,verb,1,1,に強いる；を強要する,He was forced to admit his mistake.,彼は自分の間違いを認めざるを得なかった。
23,limit,verb,1,1,を制限［規制］する,Governments often implement policies to limit the emission of greenhouse gases.,政府はしばしば、温室効果ガスの排出を制限するための政策を実施します。
24,bear,verb,1,1,に耐える（≒ endure ⇒ 824）；を負う；を産む；を（心に）抱く,It was difficult to bear the intense heat during the summer.,夏の間の猛烈な暑さに耐えるのは困難でした。
25,affect,verb,1,1,に影響を及ぼす（≒ influence ⇒ 49）；を感動させる,The new policy will significantly affect the local economy.,新しい政策は地域経済に大きな影響を与えるでしょう。
26,deal,verb,1,1,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する,The government is expected to deal with the economic crisis promptly.,政府は経済危機に迅速に対処することが期待されている。
27,avoid,verb,1,1,を避ける,"To avoid making common mistakes, it's important to carefully review your work.",よくある間違いをしないように、自分の仕事を慎重に見直すことが大切です。
28,relate,verb,1,1,を関連づける；（～に）関連する（to）,It is important for scientists to be able to clearly relate their research findings to practical applications.,科学者は、自らの研究結果を実用的な応用と明確に関連付けることが重要である。
29,realize,verb,1,1,に気づく；を実現する,She didn't realize the importance of studying abroad until she actually experienced it.,彼女は実際に留学を経験するまで、その重要性に気づきませんでした。
30,encourage,verb,1,1,を奨励する；を励ます（⇔ discourage ⇒ 706）,The university encourages its students to participate in international exchange programs to broaden their horizons.,大学は、学生が視野を広げるために国際交流プログラムに参加することを奨励しています。
31,compare,verb,1,1,を比較する；を（～に）たとえる（to）,"When evaluating the effectiveness of the new policy, it's essential to compare its results with those of the previous one.",新しい政策の有効性を評価する際、その結果を以前のものと比較することが不可欠です。
32,measure,verb,1,1,を測る；を（比較して）評価する,The success of a new policy is often difficult to measure accurately without long-term data.,長期的なデータがなければ、新しい政策の成功を正確に評価することはしばしば困難である。
33,exist,verb,1,1,存在する；生存する,"For true happiness to exist, one must find a balance between personal desires and external responsibilities.",真の幸福が存在するためには、個人の願望と外部の責任との間でバランスを見つける必要がある。
34,mark,verb,1,1,に印をつける；を（記号で）示す；に汚れをつける,The teacher will mark the exams tomorrow.,先生は明日、試験を採点します。
35,challenge,noun,1,1,に異議を唱える；（人）に挑む,Studying for the university entrance exam was a significant challenge for me.,私にとって、大学の入学試験の勉強は大きな挑戦でした。
