id,word,pos,part,section,japanese,sentence,sentence_ja
1,create,verb,1,1,を創り出す；を引き起こす,Technological change will create new ways of living.,技術の変化は新たな生活様式を創り出す。
2,increase,verb,1,1,増加する；を増やす,Japan's real GDP increased by 1.9 percent last year.,日本の実質GDPは昨年1.9パーセント増加した。
3,improve,verb,1,1,を向上させる；よくなる,Light exercise improves thinking ability.,軽い運動は思考力を向上させる。
4,mean,verb,1,1,を意味する；(…する)つもりである(to do),Her silence means that she does not agree with you.,彼女の沈黙は彼女があなたに同意していないことを意味する。
5,own,verb,1,1,を所有している；(事実・罪など)を認める,A millionaire from China owns this hotel.,中国の富豪がこのホテルを所有している。
6,include,verb,1,1,を含む,Jane's work includes typing letters and making appointments.,ジェーンの仕事は手紙をタイプしたり、アポを取ったりすることを含む。
7,consider,verb,1,1,を見なす；について考える,She considers herself to be lucky.,彼女は自分自身を幸運だとみなしている。
8,allow,verb,1,1,を許す；を与える；(～を)考慮に入れる(for),The company allows its employees to take long winter vacations.,その会社は従業員が長い冬期休暇をとるのを許している。
9,suggest,verb,1,1,を提案する；を暗示する,The teacher suggested that he study physics in university.,先生は彼が大学で物理学を学ぶことを提案した。
10,produce,verb,1,1,を生産する；を取り出す,The manufacturer produces home electrical appliances.,その製造業者は家庭用電化製品を生産している。
11,decide,verb,1,1,を決める；に決着をつける,She has decided to memorize ten English words a day.,彼女は1日に10個の英単語を覚えることに決めた。
12,offer,verb,1,1,を提供する，申し出る,Uncle George offered me an opportunity to work for his company.,ジョージおじさんは彼の会社で働く機会を私に提供した。
13,require,verb,1,1,を要求する；を必要とする,The Road Traffic Law requires you to wear a seat belt.,道路交通法はあなたがシートベルトを着用することを要求する。
14,share,verb,1,1,を共有する；を分担する,I share my office space with other people.,私はほかの人々と事務所スペースを共有している。
15,store,verb,1,1,を保存する；を蓄える,You should store backups of data on the Internet regularly.,定期的にインターネット上にデータのバックアップを保存するべきだ。
16,tend,verb,1,1,傾向がある；を世話する,My town tends to get windy.,私の町は風がよく吹く傾向がある。
17,concern,verb,1,1,〔受身形で〕心配している；〔受身形で〕(～に)関係する(with)；に関連する,We are concerned about the negative effect of the new tax law.,私たちは新しい税法のマイナス効果を心配している。
18,describe,verb,1,1,について述べる，を説明する,She described her physical condition to her doctor.,彼女は医師に自分の体調を説明した。
19,involve,verb,1,1,に関与させる；を伴う,"In Japan, more and more men are involved in raising children.",日本では，子育てにかかわる男性が増えている。
20,reduce,verb,1,1,を減らす；を(～に)変える(to),Good eating habits can reduce the risk of heart disease.,よい食習慣は心疾患の危険を軽減し得る。
21,design,verb,1,1,を設計する；を計画する,Airbags are designed to protect average-sized adult males.,エアバッグは平均的な体格の成人男性を保護するように設計されている。
22,force,verb,1,1,に強いる；を強要する,The scandal forced the CEO to resign from his position.,そのスキャンダルはCEO（最高経営責任者）にその地位を辞することを強いた。
23,limit,verb,1,1,を制限［規制］する,"""Tweets"" were originally limited to 140 characters.",「ツイート」はもとは140文字までに限られていた。
24,bear,verb,1,1,に耐える；を負う；を産む；を(心に)抱く,The man could not bear his stomachache.,その男性は胃の痛みに耐えることができなかった。
25,affect,verb,1,1,に影響を及ぼす；を感動させる,Your language can affect your way of thinking.,あなたの使う言語はあなたの考え方に影響を及ぼす可能性がある。
26,deal,verb,1,1,〔deal with で〕を処理する；〔deal in で〕を扱う；を分配する,Our team deals with complaints from our customers.,我がチームは顧客からの苦情を処理する。
27,avoid,verb,1,1,を避ける,She somehow avoided getting involved in the quarrel.,彼女はどうにかその口論に巻き込まれるのを避けた。
28,relate,verb,1,1,を関連づける；(～に)関連する(to),She believes that people's blood types are related to their personalities.,彼女は人の血液型はその人の性格に関連していると信じている。
29,realize,verb,1,1,に気づく；を実現する,She realized that she was put in a difficult position.,彼女は自分が難しい立場に置かれていることに気づいた。
30,encourage,verb,1,1,を奨励する；を励ます,Many companies encourage their employees not to work overtime.,多くの会社は従業員に残業をしないように奨励している。
31,compare,verb,1,1,を比較する；を(～に)たとえる(to),She compared the Japanese economy with the U.S. economy.,彼女は日本経済をアメリカ経済と比較した。
32,measure,verb,1,1,を測る；を(比較して)評価する,She measures her temperature every morning.,彼女は毎朝体温を測る。
33,exist,verb,1,1,存在する；生存する,"Some linguists think that about 8,000 languages exist in the world.","言語学者の中には世界には約8,000の言語が存在すると考える人もいる。"
34,mark,verb,1,1,に印をつける；を(記号で)示す；に汚れをつける,"During the test, the student marked his answers with a pencil.",テスト中に，その生徒は鉛筆で自分の解答に印をつけた。
35,challenge,verb,1,1,に異議を唱える；(人)に挑む,He challenged the common belief that laughter is a unique human feature.,彼は，笑いが人間独自の特徴であるという常識に異議を唱えた。
36,depend,verb,1,1,頼る；～次第である,Children depend on their parents for many things.,子供は多くのことを親に頼っている。
37,object,verb,1,1,反対する；(…)と言って反対する(that節),Her parents objected to her marriage.,彼女の両親は彼女の結婚に反対した。
38,demand,verb,1,1,を要求する,I demanded that she let me go with her.,私は彼女に自分を一緒に連れて行くように要求した。
39,found,verb,1,1,を設立する；(理論など)を(～に基づいて)築く(on),A thinker in the Meiji Era founded this university.,明治時代のある思想家がこの大学を設立した。
40,complete,verb,1,1,を完成させる，仕上げる,She completed all the forms for her college application.,彼女は大学の入学願書の用紙すべてに記入し終えた。
41,idea,noun,1,1,考え，思いつき；理解；見解；概念,He came up with a good idea for the school party.,彼は学校のパーティーに合うちょうどいい考えを思いついた。
42,accord,noun,1,1,一致；合意，協定,The research results were in accord with the expectations of the team.,研究結果はチームの予想と一致していた。
43,company,noun,1,1,会社；(集合的に)仲間；(仲間と)一緒にいること；一座,He started to work for an insurance company three years ago.,彼は3年前に保険会社で働き始めた。
44,interest,noun,1,1,興味；利子；利害,She seems to have a great interest in classical music.,彼女はクラシック音楽に大いに興味があるようだ。
45,research,noun,1,1,(～についての)研究，調査(into / on / in),The team did research on life on Mars.,そのチームは火星上の生命についての調査を行った。
46,cause,noun,1,1,原因；理由；大義,Air pollution is a major cause of health problems.,大気汚染は健康問題の主要な原因である。
47,reason,noun,1,1,理由；(…する)根拠(to do)；理性；分別,He explained the reason for his absence from school today.,彼は今日学校を欠席した理由を説明した。
48,effect,noun,1,1,影響，効果；結果,Abnormal weather can have a negative effect on people's lives.,異常気象は人々の生活に悪影響を与えかねない。
49,influence,noun,1,1,影響(力),Exercising has an important influence on one's health.,運動することは人の健康に重大な影響を与える。
50,situation,noun,1,1,状況；(人の置かれた)立場,The economic situation of the country is gently improving.,その国の経済状況は緩やかによくなってきている。
51,environment,noun,1,1,環境,Recycling is an effective way to help the environment.,リサイクルは自然環境を助ける効果的な方法である。
52,skill,noun,1,1,技能；熟練,She needs to improve her cooking skills to become a chef.,彼女は料理長になるために調理の技能を向上させる必要がある。
53,matter,noun,1,1,事柄；問題；(～s)事態；(the ～)困難；物質,She is good at handling difficult matters.,彼女は難しい事柄に対処するのが得意である。
54,view,noun,1,1,(～についての)見解(on / about)；(～に対する)(特定の見方)(of)；眺め,She often expresses her view on welfare for the elderly.,彼女は高齢者のための福祉に関してよく自分の見解を述べる。
55,value,noun,1,1,価値；価格；評価；(～s)価値観,Many societies place a high value on education these days.,最近，多くの社会は教育に高い価値を置く。
56,species,noun,1,1,(生物の)種；種類,Biologists think there is a need to protect endangered species.,生物学者は絶滅危惧種を保護する必要があると思っている。
57,thought,noun,1,1,考え；思考,Bob gave some thought to applying for the big contest.,ボブはその大きなコンテストに応募することについて一考した。
58,knowledge,noun,1,1,知識；知っていること；認識,Most young adults these days have a good knowledge of computers.,最近の若者の大半はコンピューターに関する豊富な知識を持っている。
59,memory,noun,1,1,記憶(力)；(～の)思い出(of),She has a good memory for people's faces.,彼女は人の顔に関して記憶力がよい。
60,practice,noun,1,1,実践，実行；(社会の)慣習；練習,The manager decided to put his new ideas into practice.,部長は自分の新しい考えを実行することに決めた。
61,benefit,noun,1,1,利益，恩恵；給付金,Both nations will enjoy the benefits of a new free-trade agreement.,両国とも新たな自由貿易協定の利益を享受することになる。
62,theory,noun,1,1,学説；理論；原理；推測,There are many different theories about how cancers occur.,癌がどのように生じるかに関する多くの異なる学説が存在する。
63,issue,noun,1,1,問題(点)；発行(物)；発表,The city council will discuss the issue of the new airport.,市議会は新空港の問題を議論する予定である。
64,experiment,noun,1,1,(～を対象とする)実験(on),The scientist carried out various experiments on plants.,その科学者は植物についてさまざまな実験を行った。
65,article,noun,1,1,記事；条項；品物,Researchers often cite articles from this scientific journal.,研究者たちはしばしばこの科学雑誌から記事を引用する。
66,focus,noun,1,1,焦点；関心の的,Reducing poverty is the main focus of the book.,貧困を減らすことがその本の主な焦点である。
67,subject,noun,1,1,話題；科目；主題；被験者,The author's novels often deal with the subject of space travel.,その著者の小説もしばしば宇宙旅行の話題を扱っている。
68,project,noun,1,1,計画；事業；研究計画,The mayor set up a project to clean up the city.,市長はその市を美化する計画を立てた。
69,quality,noun,1,1,質；特質,The company is trying to improve the quality of its products.,その会社は自社製品の質を向上させようとしている。
70,role,noun,1,1,役割；(俳優などの)役,Laughter plays an important role in strengthening personal relationships.,笑いは人間関係を強化するうえで重要な役割を果たす。
